lease,apartment,title,Detaile_address,rent,area,orientation,htype,payment
整租,美景东方,《为您而选》紧靠十里河+潘家园+南北三居高楼层+牛的采光,,9900,"  ,朝阳, ,国贸",南北低层/共28层,3室2厅2卫  118  平精装修 ,押一付三
整租,通大家园,好房出租九棵树 通大家园 豪装大三居 田园风格 看房随时,,4750,"  ,通州, ,九棵树",南北中层/共27层,3室2厅2卫  135  平豪华装修 ,押一付三
合租 - 主卧 - 男女不限,周庄嘉园6号院,(单间出租)朝阳十里河周庄嘉园三期2室1厅 主卧 朝南 精装修(个人),,2999,"  ,朝阳, ,十里河",南低层/共28层,2室1厅1卫  25  平精装修 ,押一付三
整租,天翠阳光新城,五里坨 一居室 温馨干净,,2900,"  ,石景山, ,五里坨",南北中层/共16层,1室1厅1卫  70  平精装修 ,押一付三
合租 - 主卧 - 男女不限,枫润家园,(单间出租)A22上地 蛋壳公寓 视频看房 双人床 免费双周保洁,,2200,"  ,海淀, ,上地",南中层/共21层,3室1厅1卫  14  平毛坯 ,押一付一
合租 - 主卧 - 男女不限,福溪家园,(单间出租)华为产业园。环保科技园，福溪家园正规阳台大主卧，无中介,,1600,"  ,海淀, ,温泉",南中层/共6层,3室1厅1卫  30  平精装修 ,押一付一
整租,崔各庄乡南皋村新时代公寓,崔各庄乡南皋村新时代公寓 1室1厅1卫(个人),,2000,  暂无信息,南北共4层,1室1厅1卫  30  平精装修 ,押一付三
整租,甘家口小区,甘家口大厦增光路首体南路白堆子中建大厦云建大厦建设部大院一居,,4500,"  ,海淀, ,增光路",南中层/共18层,1室1厅1卫  46  平精装修 ,面议
整租,南华园一区,南华园一区，精装修+大三居+家具家电齐全+随时入住,,2100,"  ,怀柔, ,怀柔城区",南北中层/共6层,3室2厅1卫  90  平精装修 ,押一付三
整租,蒲安里小区,刘家窑 地铁五号线 楼房卧室出租 无中介费 精装修,,6200,"  ,丰台, ,蒲黄榆",南高层/共13层,2室1厅1卫  90  平精装修 ,押一付三
整租,双兴东区,顺义站 双兴东区三居室 装修倍棒 价钱可以商量 临近三所,,4000,"  ,顺义, ,顺义城区",南北高层/共6层,3室1厅1卫  92  平精装修 ,押一付三
整租,琥珀天地,为你而选 琥珀天地 1室0厅 65平,,5800,"  ,昌平, ,回龙观",南共5层,1室0厅0卫  65.56  平精装修 ,押一付三
合租 - 次卧 - 男女不限,天鸿美域南区,(单间出租)丰台 青塔小屯路 天鸿美誉南区 城乡超市旁精装明隔带阳台出租,,1800,"  ,丰台, ,青塔",南低层/共27层,3室1厅2卫  13  平精装修 ,押一付三
整租,中海城圣朝菲,成寿寺 中海城圣朝菲 精装大三居 家电全齐拎包入住看房随时,,7200,"  ,丰台, ,成寿寺",东西低层/共18层,3室1厅1卫  120  平精装修 ,押一付一
整租,东贸国际,东贸国际 1900元 2室1厅1卫 精装修，全家私电器出租,,1900,"  ,燕郊, ,燕顺路",南中层/共27层,2室1厅1卫  85  平精装修 ,押一付三
整租,裕中西里,裕中西里 小区周边配套齐全、出行方便,,6000,"  ,西城, ,马甸",东高层/共20层,1室1厅1卫  51  平精装修 ,面议
合租 - 主卧 - 男女不限,西王庄小区,(单间出租)海淀 五道口 西王庄小区 出租三家合住正规朝南卧室 可月付,,3300,"  ,海淀, ,五道口",南中层/共22层,3室1厅1卫  30  平精装修 ,押一付一
整租,四合上院,"宣武门四合上院,南北两居,可以配齐,陶然亭,中信城地铁247",,10500,"  ,宣武, ,宣武门",南北低层/共14层,2室1厅1卫  96  平精装修 ,半年付
整租,天宁寺南里社区,天宁寺南里社区 2室1厅1卫(个人),,4800,"  ,宣武, ,天宁寺",南北共3层,2室1厅1卫  58  平 ,押一付三
整租,晶都国际,798晶都国际+ 飘HOME +亮马水晶 一居 (可月付 ),,5200,"  ,朝阳, ,酒仙桥",南中层/共21层,1室1厅1卫  49  平精装修 ,押一付三
