lease,payment,title,Detaile_address,area,rent,apartment,orientation,htype
合租 - 主卧 - 男女不限,押一付三,(单间出租)宋家庄地铁 鑫兆雅园 政馨家园三区 主卧室阳台 三家合住,,"  ,丰台, ,宋家庄",1900,政馨园三区,南中层/共27层,3室1厅1卫  25  平精装修 
合租 - 次卧 - 男女不限,押一付一,(单间出租)圣馨家园 3室1厅 次卧 朝南 精装修(个人),,  暂无信息,2100,圣馨家园,南中层/共28层,3室1厅1卫  18  平精装修 
整租,半年付,鸿坤七星长安 1室 朝北 50平 3300元,,"  ,门头沟, ,大峪",3300,鸿坤七星长安,北高层/共20层,1室1厅1卫  50  平简单装修 
合租 - 主卧 - 男女不限,押一付一,(单间出租)太阳宫南街7 3室1厅 主卧 朝南 精装修(个人),,  暂无信息,2800,太阳宫南街7号院圣馨家园,南低层/共28层,3室1厅1卫  20  平精装修 
整租,押一付三,工体三里屯（世茂工三）一居室 免中介费 落地飘窗 带阳台即住,,"  ,朝阳, ,三里屯",15000,世茂工三首开铂郡永利国际瑞士公寓富力爱丁堡,东中层/共30层,1室2厅1卫  108  平精装修 
整租,押一付三,六号线黄渠站管庄科技大学农业银行附近精装大开间出租随时看房,,"  ,朝阳, ,管庄",4400,柏林爱乐(二期),南中层/共12层,1室0厅1卫  50  平精装修 
合租 - 主卧 - 男女不限,押一付三,(单间出租)阜外医院国滨酒店展览馆路五栋大楼环保部官园桥物华大厦车公庄,,"  ,西城, ,广安门外",3400,展览馆路甲22号院,南北低层/共6层,3室1厅1卫  35  平精装修 
合租 - 次卧 - 男女不限,押一付一,(单间出租)精品房源万寿路甲15号院次卧出租、西钓鱼台、公主坟、定慧西里,,"  ,海淀, ,万寿路",2000,万寿路甲十五号院五区,南中层/共6层,3室1厅1卫  21  平精装修 
合租 - 主卧 - 男女不限,押一付一,(单间出租)无中介 可月付 零押金入住 有信用就是这么任性,,"  ,丰台, ,科技园区",1600,怡海花园,南高层/共6层,3室1厅1卫  25  平精装修 
整租,押一付三,"丽水莲花,北京西站,玺源台,朗琴园,正规精装一居室,随时住",,"  ,宣武, ,广安门内",5500,玺源台,南北低层/共6层,1室1厅1卫  63  平精装修 
合租 - 主卧 - 男女不限,,(单间出租)整租 无中介拎包入住(个人),,"  ,丰台, ,七里庄",5500,东大街东里社区,暂无信息,2室1厅1卫  90  平 
整租,押一付一,国贸百子湾后现代城温馨舒适大开间 温馨舒适 临近地铁随时看房,,"  ,朝阳, ,百子湾",5000,后现代城A区,南高层/共24层,1室1厅1卫  60  平精装修 
合租 - 隔断 - 男女不限,,(单间出租)翌景嘉园地铁房(个人),,"  ,朝阳, ,潘家园",2200,翌景嘉园,暂无信息,3室2厅1卫  15  平 
合租 - 主卧 - 男女不限,押一付三,(单间出租)十号线三环新城精装次卧朝南 包物业 洗澡做饭 住家少欢迎看房,,"  ,丰台, ,玉泉营",1600,三环新城7号院,南中层/共20层,3室2厅2卫  15  平精装修 
整租,押一付一,魏公村南区 中央民族大学家属院 私摩空间 民大附中 适合陪读,,"  ,海淀, ,魏公村",6700,魏公村南区,南北共5层,3室1厅1卫  70  平精装修 
整租,押一付三,沙河松兰堡7号公寓 1室1厅1卫(个人),,"  ,昌平, ,沙河",1200,沙河松兰堡7号公寓,东西中层/共6层,1室1厅1卫  30  平精装修 
整租,押一付三,福成六期三居出租，拎包入住，包物业包暖气！价格可谈,,"  ,燕郊, ,城区",2400,福成公寓北区,南北低层/共28层,3室2厅1卫  98  平精装修 
整租,押一付三,太阳宫红玺台南北通透两居室 家电齐全 随时起租 随时看房,,"  ,朝阳, ,太阳宫",20000,红玺台,南北低层/共19层,2室2厅2卫  85  平豪华装修 
整租,半年付,东亚尚品台湖 1室1厅1卫(个人),,"  ,通州, ,次渠",5000,东亚尚品台湖,南中层/共15层,1室1厅1卫  65  平 
整租,押一付三,夏威夷蓝湾南向精装两居，寒冷的冬天里，给你一个温暖的家,,"  ,燕郊, ,城区",1600,夏威夷蓝湾,南低层/共33层,2室1厅1卫  87  平简单装修 
整租,押一付三,积水潭普天大院 1室1厅 好房子 精装修 配置齐全 拎包入住,,"  ,海淀, ,小西天",4200,普天大院,南低层/共6层,1室1厅1卫  50  平精装修 
整租,押一付三,房山 城关 永安西里 家具家电齐全 含物暖,,"  ,房山, ,房山城关",1500,房山永安西里,南北低层/共6层,2室1厅1卫  50  平精装修 
整租,押一付三,政馨园一区 2室1厅1卫(个人),,"  ,丰台, ,宋家庄",6500,政馨园一区,南低层/共20层,2室1厅1卫  74  平 
合租 - 主卧 - 限女生,,(单间出租)青年公寓 3室2厅1卫 限女生(个人),,"  ,房山, ,窦店",700,青年公寓,暂无信息,3室2厅1卫  108  平 
整租,押一付三,朝阳门悠唐麒麟公馆山水铂宫公寓新上精装一居室随时看房,,"  ,朝阳, ,朝阳周边",13000,悠唐麒麟公馆,东高层/共28层,1室1厅1卫  72  平豪华装修 
整租,面议,苏州街 中关村公馆 新中关 立方庭 交通便利 拎包入住,,"  ,海淀, ,中关村",6000,中关村公馆,东低层/共18层,1室1厅1卫  42  平精装修 
